'Elapsed time','ECG'
0,-0.06
0.01,-0.065
0.02,-0.06
0.03,-0.075
0.04,-0.065
0.05,-0.07
0.06,-0.07
0.07,-0.09
0.08,-0.08
0.09,-0.095
0.1,-0.08
0.11,-0.095
0.12,-0.08
0.13,-0.095
0.14,-0.085
0.15,-0.09
0.16,-0.09
0.17,-0.1
0.18,-0.085
0.19,-0.105
0.2,-0.09
0.21,-0.045
0.22,0.005
0.23,0.015
0.24,0.045
0.25,0.155
0.26,0.14
0.27,0.045
0.28,0.005
0.29,-0.04
0.3,-0.085
0.31,-0.2
0.32,-0.195
0.33,-0.2
0.34,-0.2
0.35,-0.24
0.36,-0.13
0.37,0.34
0.38,1.155
0.39,1.47
0.4,-0.155
0.41,-0.825
0.42,-0.59
0.43,-0.35
0.44,-0.155
0.45,-0.17
0.46,-0.14
0.47,-0.155
0.48,-0.115
0.49,-0.125
0.5,-0.09
0.51,-0.095
0.52,-0.065
0.53,-0.055
0.54,-0.015
0.55,-0.005
0.56,0.035
0.57,0.045
0.58,0.09
0.59,0.11
0.6,0.15
0.61,0.18
0.62,0.205
0.63,0.225
0.64,0.23
0.65,0.22
0.66,0.235
0.67,0.23
0.68,0.2
0.69,0.17
0.7,0.12
0.71,0.075
0.72,0.04
0.73,0.02
0.74,0.005
0.75,-0.005
0.76,-0.005
0.77,-0.01
0.78,-0.015
0.79,-0.01
0.8,0
0.81,-0.005
0.82,-0.02
0.83,-0.02
0.84,-0.015
0.85,-0.025
0.86,-0.035
0.87,-0.045
0.88,-0.045
0.89,-0.06
0.9,-0.065
0.91,-0.07
0.92,-0.055
0.93,-0.06
0.94,-0.08
0.95,-0.075
0.96,-0.09
0.97,-0.065
0.98,-0.075
0.99,-0.08
1,-0.08
1.01,-0.085
1.02,-0.09
1.03,-0.075
1.04,-0.085
1.05,-0.095
1.06,-0.105
1.07,-0.09
1.08,-0.095
1.09,-0.07
1.1,-0.045
1.11,0.005
1.12,0.03
1.13,0.07
1.14,0.195
1.15,0.145
1.16,0.05
1.17,-0.015
1.18,-0.025
1.19,-0.115
1.2,-0.18
1.21,-0.19
1.22,-0.185
1.23,-0.185
1.24,-0.215
1.25,0.01
1.26,0.575
