'Elapsed time','ECG','ECG'
0,-0.168,0.117
0.004,-0.158,0.117
0.008,-0.138,0.115
0.012,-0.14,0.098
0.016,-0.142,0.102
0.02,-0.16,0.095
0.024,-0.172,0.092
0.028,-0.165,0.092
0.032,-0.145,0.098
0.036,-0.138,0.11
0.04,-0.128,0.105
0.044,-0.13,0.107
0.048,-0.133,0.092
0.052,-0.145,0.09
0.056,-0.15,0.09
0.06,-0.165,0.1
0.064,-0.152,0.102
0.068,-0.14,0.1
0.072,-0.115,0.105
0.076,-0.113,0.105
0.08,-0.122,0.107
0.084,-0.13,0.092
0.088,-0.14,0.095
0.092,-0.145,0.072
0.096,-0.14,0.098
0.1,-0.135,0.113
0.104,-0.128,0.107
0.108,-0.122,0.102
0.112,-0.12,0.107
0.116,-0.117,0.09
0.12,-0.147,0.075
0.124,-0.155,0.077
0.128,-0.138,0.092
0.132,-0.142,0.1
0.136,-0.145,0.11
0.14,-0.13,0.098
0.144,-0.115,0.095
0.148,-0.125,0.09
0.152,-0.133,0.075
0.156,-0.147,0.085
0.16,-0.155,0.085
0.164,-0.155,0.077
0.168,-0.142,0.105
0.172,-0.14,0.107
0.176,-0.13,0.102
0.18,-0.142,0.092
0.184,-0.152,0.075
0.188,-0.16,0.083
0.192,-0.17,0.08
0.196,-0.17,0.07
0.2,-0.172,0.098
0.204,-0.158,0.1
0.208,-0.152,0.09
0.212,-0.147,0.087
0.216,-0.175,0.075
0.22,-0.177,0.065
0.224,-0.19,0.068
0.228,-0.195,0.083
0.232,-0.193,0.09
0.236,-0.188,0.098
0.24,-0.185,0.095
0.244,-0.193,0.087
0.248,-0.195,0.07
0.252,-0.212,0.06
0.256,-0.217,0.055
0.26,-0.225,0.07
0.264,-0.228,0.077
0.268,-0.223,0.098
0.272,-0.205,0.083
0.276,-0.193,0.09
0.28,-0.195,0.07
0.284,-0.228,0.07
0.288,-0.223,0.068
0.292,-0.233,0.08
0.296,-0.228,0.065
0.3,-0.217,0.095
0.304,-0.203,0.083
0.308,-0.205,0.085
0.312,-0.198,0.085
0.316,-0.205,0.068
0.32,-0.203,0.06
0.324,-0.205,0.05
0.328,-0.21,0.072
0.332,-0.203,0.075
0.336,-0.193,0.085
0.34,-0.188,0.085
0.344,-0.185,0.07
0.348,-0.188,0.072
0.352,-0.188,0.052
0.356,-0.203,0.05
0.36,-0.203,0.065
0.364,-0.193,0.07
0.368,-0.19,0.077
0.372,-0.185,0.08
0.376,-0.168,0.072
0.38,-0.17,0.062
0.384,-0.188,0.052
0.388,-0.188,0.06
0.392,-0.182,0.048
0.396,-0.19,0.058
0.4,-0.168,0.072
0.404,-0.152,0.065
0.408,-0.15,0.062
0.412,-0.15,0.07
0.416,-0.163,0.062
0.42,-0.165,0.048
0.424,-0.172,0.05
0.428,-0.17,0.052
0.432,-0.177,0.065
0.436,-0.163,0.075
0.44,-0.152,0.083
0.444,-0.147,0.072
0.448,-0.155,0.077
0.452,-0.165,0.045
0.456,-0.175,0.052
0.46,-0.18,0.048
0.464,-0.168,0.075
0.468,-0.122,0.098
0.472,-0.107,0.163
0.476,-0.072,0.223
0.48,-0.037,0.318
0.484,0.005,0.407
0.488,0.07,0.52
0.492,0.117,0.627
0.496,0.152,0.675
0.5,0.165,0.68
0.504,0.122,0.632
0.508,0.043,0.603
0.512,-0.06,0.565
0.516,-0.207,0.547
0.52,-0.333,0.54
0.524,-0.427,0.532
0.528,-0.515,0.53
0.532,-0.555,0.52
0.536,-0.593,0.495
0.54,-0.61,0.458
0.544,-0.615,0.4
0.548,-0.595,0.333
0.552,-0.568,0.268
0.556,-0.525,0.212
0.56,-0.49,0.163
0.564,-0.445,0.145
0.568,-0.415,0.11
0.572,-0.38,0.087
0.576,-0.352,0.065
0.58,-0.343,0.028
0.584,-0.318,-0.007
0.588,-0.295,-0.033
0.592,-0.278,-0.033
0.596,-0.253,-0.025
0.6,-0.237,-0.033
0.604,-0.217,-0.035
0.608,-0.2,-0.035
0.612,-0.195,-0.05
0.616,-0.19,-0.06
0.62,-0.203,-0.075
0.624,-0.223,-0.065
0.628,-0.21,-0.065
0.632,-0.195,-0.06
0.636,-0.2,-0.065
0.64,-0.18,-0.065
0.644,-0.172,-0.052
0.648,-0.18,-0.065
0.652,-0.188,-0.083
